a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,Class
-697.9842454991217,55.22848317832871,0.3238627235809543,12.775376621305448,7.396147439805842,0.8662235162609654,-3.550276211525271,-2.8283316467311823,-11.30553224512099,-2.524927209664026,0.34627318533163093,1786.3878995392174,1.6002625373453404e-05,0.49712694347353853,0.05815447250109134,dogal
-650.8869668011217,54.811464933115246,-9.415653976169427,8.737362260304621,-4.7161448375822275,-3.44070923554851,-5.684012804917963,-8.289237586234098,-4.287299572696989,-0.5839194011817315,0.26838666234381625,1958.9485917119703,4.1640438829264194e-05,0.5950558984304739,0.1343757188357708,dogal
-614.9019801040652,57.0747767955308,-3.005428320019908,10.98868553443739,3.905378006752784,-2.136258603642918,-12.357704040837149,-6.318456641787425,-3.47155416280872,-8.20424367613453,0.2228622327790974,2089.1984121251094,5.0994698347321546e-05,0.37421977801676126,0.1080700365001005,dogal
-696.0515347292147,43.328194366847285,-7.633202941676756,9.36086934785892,-4.538801778228249,-4.5531609969322435,-6.906352832665295,-12.316589296899284,-7.676776534047182,-3.250955151137194,0.2560786413498634,2413.709483447426,1.845652203625472e-05,0.6883246907950918,0.27657743541067353,dogal
-713.5991276478087,68.70442247737088,7.67495979640244,15.474820850433794,11.407868722783059,0.7697142532153598,0.6965011511029711,-2.447308488384778,-0.42738814953985665,2.2151907268525513,0.23931209806315207,1762.6592848402659,7.389718748717232e-06,0.7472959492599942,0.19540742156754556,dogal
-736.3082223117443,51.34408493018153,-18.909586168586706,9.064810177709639,0.2099458894578547,-9.800146777254762,-9.05479977924957,-9.541829267217931,-7.657325159856303,0.6802653543362633,0.3802481888736357,2379.6292919206867,7.598897115687851e-06,0.522801231170501,0.1928031684525109,dogal
-650.3482432020137,72.11281650044091,6.1135118457291275,18.22102395412399,9.765138184691903,-1.958228135971433,-6.465296540896112,-7.270580100381133,1.7919926338416579,-3.790748180990901,0.2788013615083468,2231.7462610395364,1.8342986336976593e-05,0.23370143586395714,0.02959942901222328,dogal
-689.1600127149724,63.491485936493575,8.35100263103518,22.200525922499953,6.84642515348037,2.594156418681365,5.505469004070985,-8.571799787069144,2.373426180816939,-1.3141066885299313,0.1722868016362036,2907.692540087668,1.693551332642311e-05,0.24650350236041535,0.30744512267089874,dogal
-737.7585742956978,91.70104773479527,21.957989923255905,32.59881911283309,22.041537364728583,9.956926162702228,5.017790268910549,6.164300477785807,6.671365014181447,7.070106779815471,0.14704862555823695,1662.7854851729398,3.5068793642225456e-06,3.7648346513159514,3.445736937028288,dogal
-571.3820290251047,52.002149133647784,0.23985635612852485,5.169603210101654,4.662917376125193,-3.1141025045995963,-7.127874248251676,-7.3089410040128735,-4.319267290039254,-0.9445132740847113,0.12087115966558958,1979.5531569946038,0.0002459026767546946,0.5454010293638445,0.20510815379181147,dogal
-731.5992875476901,62.55543410990679,24.082515002296386,20.42141381906609,12.14298140104215,6.484321815336341,6.896530029400352,2.541088412838717,0.21515442697201562,1.4511101012530587,0.18666406396853627,2394.1013101123435,9.163548796076247e-06,4.013415299372948,3.5011626834976677,dogal
-684.0447149042292,59.88810898142503,-1.2103739623564966,10.947204049315348,1.1764400484347466,-4.210976723051519,-1.9817684712741923,-8.999925166350268,-10.882643824433353,-3.713804512607693,0.255860787590094,1725.8463171747972,1.7767452273525513e-05,0.5249383753874097,0.23436564147342087,dogal
-734.9833105335996,65.46204056348827,2.854007329262505,11.343091905434898,9.88331879162134,1.9940257958054841,-1.3520311652632908,-1.6918447396729783,-4.6901104235803395,1.2574559623946768,0.3082024208086531,1375.678384074461,1.228711697001068e-05,1.0483450394787766,0.5207300625487558,dogal
